"","geoid","name","puma","at_risk","food_insec","food_sec","tot_hh","at_risk_pc","insecure_pc","secure_pc","median_income","moe_median_income"
"147","51059461201","Census Tract 4612.01, Fairfax County, Virginia","59305",20,76,1268,1364,0.0146627565982405,0.0557184750733138,0.929618768328446,249177,17304
"148","51059461202","Census Tract 4612.02, Fairfax County, Virginia","59305",102,462,1754,2318,0.0440034512510785,0.199309749784297,0.756686798964625,130318,20223
"149","51059461500","Census Tract 4615, Fairfax County, Virginia","59305",55,151,2254,2460,0.0223577235772358,0.0613821138211382,0.916260162601626,187517,25132
"150","51059461603","Census Tract 4616.03, Fairfax County, Virginia","59305",98,380,1530,2008,0.048804780876494,0.189243027888446,0.76195219123506,111373,23550
"151","51059461604","Census Tract 4616.04, Fairfax County, Virginia","59305",40,126,570,736,0.0543478260869565,0.171195652173913,0.77445652173913,150703,21899
"152","51059461605","Census Tract 4616.05, Fairfax County, Virginia","59305",51,333,1564,1948,0.0261806981519507,0.170944558521561,0.802874743326489,127726,19562
"153","51059461606","Census Tract 4616.06, Fairfax County, Virginia","59305",95,153,807,1055,0.0900473933649289,0.145023696682464,0.764928909952607,99904,25070
"154","51059461700","Census Tract 4617, Fairfax County, Virginia","59305",140,526,1702,2368,0.0591216216216216,0.222128378378378,0.71875,126103,29031
"155","51059461801","Census Tract 4618.01, Fairfax County, Virginia","59305",39,66,578,683,0.0571010248901903,0.0966325036603221,0.846266471449488,102347,31052
"156","51059461802","Census Tract 4618.02, Fairfax County, Virginia","59305",145,484,1719,2348,0.0617546848381601,0.206132879045997,0.732112436115843,104071,19159
"157","51059461901","Census Tract 4619.01, Fairfax County, Virginia","59305",82,489,686,1257,0.0652346857597454,0.389021479713604,0.545743834526651,77813,14792
"158","51059461902","Census Tract 4619.02, Fairfax County, Virginia","59305",90,253,94,437,0.205949656750572,0.578947368421053,0.215102974828375,54625,7079
"159","51059470100","Census Tract 4701, Fairfax County, Virginia","59308",15,33,792,840,0.0178571428571429,0.0392857142857143,0.942857142857143,250001,NA
"160","51059470300","Census Tract 4703, Fairfax County, Virginia","59308",24,99,926,1049,0.0228789323164919,0.0943755958055291,0.882745471877979,250001,NA
"161","51059470400","Census Tract 4704, Fairfax County, Virginia","59308",47,172,1358,1577,0.0298034242232086,0.109067850348763,0.861128725428028,242303,43797
"162","51059470500","Census Tract 4705, Fairfax County, Virginia","59308",107,386,1450,1943,0.0550694801852805,0.198661863098302,0.746268656716418,183417,48839
"163","51059470600","Census Tract 4706, Fairfax County, Virginia","59308",26,261,821,1108,0.0234657039711191,0.235559566787004,0.740974729241877,163092,23224
"164","51059470700","Census Tract 4707, Fairfax County, Virginia","59308",60,147,1556,1763,0.0340328984685196,0.0833806012478729,0.882586500283608,199167,33039
"165","51059470800","Census Tract 4708, Fairfax County, Virginia","59308",58,158,735,951,0.0609884332281809,0.166140904311251,0.772870662460568,166528,16190
"166","51059470900","Census Tract 4709, Fairfax County, Virginia","59308",68,356,2229,2653,0.025631360723709,0.134187712024124,0.840180927252167,195599,28067
"167","51059471000","Census Tract 4710, Fairfax County, Virginia","59308",38,79,725,842,0.0451306413301663,0.0938242280285036,0.86104513064133,168125,40547
"168","51059471100","Census Tract 4711, Fairfax County, Virginia","59308",139,529,1528,2196,0.0632969034608379,0.240892531876138,0.695810564663024,135691,25402
"169","51059471201","Census Tract 4712.01, Fairfax County, Virginia","59308",114,262,1189,1565,0.0728434504792332,0.16741214057508,0.759744408945687,115430,13104
"170","51059471203","Census Tract 4712.03, Fairfax County, Virginia","59308",19,187,886,1092,0.0173992673992674,0.171245421245421,0.811355311355311,134252,35314
"171","51059471204","Census Tract 4712.04, Fairfax County, Virginia","59308",108,189,1292,1589,0.0679672750157332,0.118942731277533,0.813089993706734,103120,13893
"172","51059471301","Census Tract 4713.01, Fairfax County, Virginia","59308",198,334,998,1530,0.129411764705882,0.218300653594771,0.652287581699346,97375,13623
"173","51059471303","Census Tract 4713.03, Fairfax County, Virginia","59308",176,363,1096,1635,0.107645259938838,0.222018348623853,0.670336391437309,97522,17229
"174","51059471304","Census Tract 4713.04, Fairfax County, Virginia","59308",11,133,536,680,0.0161764705882353,0.195588235294118,0.788235294117647,184926,32809
"175","51059471401","Census Tract 4714.01, Fairfax County, Virginia","59308",107,268,888,1263,0.0847189231987332,0.212193190815519,0.703087885985748,116683,21233
"176","51059471402","Census Tract 4714.02, Fairfax County, Virginia","59308",134,394,881,1409,0.0951029098651526,0.279630943931867,0.625266146202981,76986,27896
"177","51059480100","Census Tract 4801, Fairfax County, Virginia","59308",40,97,1143,1280,0.03125,0.07578125,0.89296875,250001,NA
"178","51059480201","Census Tract 4802.01, Fairfax County, Virginia","59308",35,129,1287,1451,0.0241212956581668,0.0889042039972433,0.88697450034459,250001,NA
"179","51059480203","Census Tract 4802.03, Fairfax County, Virginia","59305",42,325,885,1252,0.0335463258785942,0.259584664536741,0.706869009584665,90469,15840
"180","51059480204","Census Tract 4802.04, Fairfax County, Virginia","59308",128,379,1290,1797,0.0712298274902615,0.210907067334446,0.717863105175292,87868,12448
"181","51059480205","Census Tract 4802.05, Fairfax County, Virginia","59308",64,142,1099,1305,0.0490421455938697,0.108812260536398,0.842145593869732,99167,12109
"182","51059480301","Census Tract 4803.01, Fairfax County, Virginia","59308",43,85,896,1024,0.0419921875,0.0830078125,0.875,210341,54829
"183","51059480302","Census Tract 4803.02, Fairfax County, Virginia","59308",21,136,1351,1508,0.0139257294429708,0.0901856763925729,0.895888594164456,250001,NA
"184","51059480401","Census Tract 4804.01, Fairfax County, Virginia","59308",36,119,1263,1418,0.0253878702397743,0.0839210155148096,0.890691114245416,247448,22793
"185","51059480402","Census Tract 4804.02, Fairfax County, Virginia","59308",74,192,1482,1748,0.0423340961098398,0.109839816933638,0.847826086956522,217639,26112
"186","51059480501","Census Tract 4805.01, Fairfax County, Virginia","59307",26,56,862,944,0.0275423728813559,0.0593220338983051,0.913135593220339,236829,15341
